systematic transcript name	transcript name	total 1		total2		selective 1    		selective 2		ratio 1	ratio 2	average	average [log2]	no. of included values
YAL001C	TFC3	322.2600105510479	included	344.06786513216144	included	294.05540392088244	included	270.62309608488533	included	0.9124787261629606	0.7865398763146192	0.8495093012387899	-0.23529835138885555	4 of 4	
YAL002W	VPS8	126.43159637977197	included	138.64608942627737	included	206.23478226228818	included	192.51056364056114	included	1.6311965376345123	1.3885033789065162	1.5098499582705143	0.5944051884812781	4 of 4	
YAL003W	EFB1	151134.28080394625	included	148276.35598502975	included	173029.1906234581	included	143411.7057188126	included	1.1448705727320347	0.9671920028388862	1.0560312877854605	0.0786525790753807	4 of 4	
YAL004W	-	0.0	excluded	0.0	excluded	0.0	excluded	0.0	excluded	n.a.	n.a.	n.a.	n.a.	0 of 4	
YAL005C	SSA1	85750.33133099502	included	81951.24730901669	included	85727.45643676934	included	105273.22937849227	included	0.9997332384158683	1.2845836132491613	1.1421584258325148	0.1917627770673855	4 of 4	
YAL007C	ERP2	2759.458474655375	included	3177.9314238535862	included	766.7338244788062	included	733.8518191130714	included	0.2778566271320907	0.23092122555092665	0.25438892634150867	-1.9748922240288678	4 of 4	
YAL008W	FUN14	1005.064128116695	included	1015.2118536597501	included	339.4637456169067	included	300.7355008897395	included	0.33775331953494275	0.29622930406654957	0.31699131180074613	-1.6574847958278847	4 of 4	
YAL009W	SPO7	206.66703254385766	excluded	225.1613877358567	excluded	92.1943100689094	excluded	97.98131431015233	excluded	0.4461007105685541	0.43516037672097235	0.44063054364476323	-1.1823585915926882	0 of 4	
YAL010C	MDM10	191.35836346653508	included	260.24845641296105	included	192.6228806862376	included	183.3568454926827	included	1.0066081105460731	0.7045453718339559	0.8555767411900146	-0.22503083144228184	4 of 4	
YAL011W	SWC3	241.61286019800224	included	172.36560534562233	included	255.27710988196338	included	233.835420225962	included	1.056554314504465	1.3566245989568642	1.2065894567306645	0.2709348811544654	4 of 4	
YAL012W	CYS3	24982.391469842107	included	24954.073839008473	included	16351.811993441817	included	15907.503604461264	included	0.6545334946488677	0.6374712083922139	0.6460023515205409	-0.6303886783879017	4 of 4	
YAL013W	DEP1	622.5274050901445	included	568.2862031814878	included	1057.3651056268586	included	1107.528250580626	included	1.698503707597817	1.9488916753217849	1.823697691459801	0.8668665983741167	4 of 4	
YAL014C	SYN8	423.6793766126254	included	538.0694927511275	included	502.2232657873108	included	510.19784075933603	included	1.185385207565812	0.9482006462598634	1.0667929269128378	0.09328016462689753	4 of 4	
YAL015C	NTG1	241.30289633130076	included	264.0127644432202	included	245.15305177414476	included	229.4784591502059	included	1.0159556951092616	0.8691945619908034	0.9425751285500326	-0.08532048099741785	4 of 4	
YAL016C-A	-	0.0	excluded	21.86441113401408	excluded	0.0	excluded	3.8511174180861074	excluded	n.a.	0.1761363429584889	n.a.	n.a.	0 of 4	
YAL016C-B	-	0.0	excluded	0.0	excluded	0.0	excluded	0.0	excluded	n.a.	n.a.	n.a.	n.a.	0 of 4	
YAL016W	TPD3	3096.2746018261573	included	2992.4334389312457	included	1866.2011954295667	included	1699.4872172124778	included	0.6027247048207212	0.5679281601061955	0.5853264324634584	-0.7726866648047782	4 of 4	
YAL017W	PSK1	336.5763757714973	included	358.6601266346031	included	443.74984016107055	included	414.79684733048623	included	1.3184224208960336	1.1565178745198912	1.2374701477079624	0.30739372254727493	4 of 4	
YAL018C	-	0.0	excluded	3.521109155017605	excluded	2.228157707558695	excluded	0.0	excluded	n.a.	0.0	n.a.	n.a.	0 of 4	
YAL019W	FUN30	893.9748845904854	included	874.0935740899429	included	680.1786019646553	included	708.3572554830375	included	0.7608475514121781	0.8103906452127158	0.7856190983124469	-0.348098093053305	4 of 4	
YAL019W-A	-	0.0	excluded	0.0	excluded	7.6460990806751	excluded	0.0	excluded	n.a.	n.a.	n.a.	n.a.	0 of 4	
YAL020C	ATS1	253.23472051559426	included	333.3668074849304	included	591.5425157025282	included	671.9277471226545	included	2.335945538977152	2.0155808317930046	2.1757631853850783	1.1215215391880216	4 of 4	
YAL021C	CCR4	1338.229777159053	included	1388.9641130301302	included	1658.190711726135	included	1618.434392753438	included	1.2390926730432885	1.1652096534176835	1.202151163230486	0.2656183176224251	4 of 4	
YAL022C	FUN26	478.32202512831816	included	553.9969037334663	included	99.56165694817281	included	111.6303629972258	included	0.2081477576146816	0.201499976344511	0.20482386697959631	-2.287544260570458	4 of 4	
YAL023C	PMT2	2711.5480103208315	included	3269.952145420918	included	734.0255117448152	included	650.180099887671	included	0.27070349075543937	0.1988347446607595	0.23476911770809944	-2.090685450747825	4 of 4	
YAL024C	LTE1	169.77058151557435	included	193.44522524905977	included	210.42746216454094	included	209.78667132993183	included	1.2394813063960486	1.084475830612167	1.1619785685041077	0.21658345996621428	4 of 4	
YAL025C	MAK16	2661.0655547600286	included	2987.4833421630624	included	3333.773916754947	included	3361.385743812225	included	1.2527966140449263	1.125156313466987	1.1889764637559566	0.24972015666587097	4 of 4	
YAL026C	DRS2	374.98336534164605	included	408.02280512258835	included	245.34053908567458	included	215.30472821910402	included	0.6542704604033452	0.5276781726806099	0.5909743165419776	-0.7588326619510037	4 of 4	
YAL026C-A	-	286.25114096637805	excluded	330.2125106198702	excluded	99.50402913207324	excluded	96.93737336620852	excluded	0.3476109433001722	0.29356057159748145	0.32058575744882684	-1.6412177620785326	0 of 4	
YAL027W	SAW1	208.88737386041598	excluded	232.20505336028333	excluded	243.97476455894562	included	191.37995718885938	included	1.167972769488576	0.8241851519567027	0.9960789607226394	-0.005667983389489098	2 of 4	
YAL028W	FRT2	35.73952043571578	excluded	54.24771193458124	excluded	35.7010675411484	excluded	37.45557488856905	excluded	0.9989240791678626	0.6904544643972769	0.8446892717825698	-0.24350736710403742	0 of 4	
YAL029C	MYO4	596.9028951718358	included	582.5187117175299	included	792.0101612268678	included	745.5522626575997	included	1.3268660072403649	1.2798769338402416	1.3033714705403032	0.3822483213033394	4 of 4	
YAL030W	SNC1	2040.7234286973498	included	2208.2128787255347	included	357.03394859762557	excluded	342.6841770330861	included	0.17495459873537603	0.15518620524976992	0.16507040199257297	-2.5988466343972836	3 of 4	
YAL031C	GIP4	262.82228842998956	included	279.0513707478475	included	250.08069135085782	included	241.77021635882068	included	0.9515201044962903	0.8664003896876955	0.9089602470919929	-0.1377108946124682	4 of 4	
YAL031W-A	-	0.0	excluded	0.0	excluded	0.0	excluded	0.0	excluded	n.a.	n.a.	n.a.	n.a.	0 of 4	
YAL032C	PRP45	384.9324553521565	included	296.03261916974344	included	344.07445863037856	included	401.1749552498368	included	0.8938567113432955	1.3551714550071434	1.1245140831752194	0.16930172923473466	4 of 4	
YAL033W	POP5	1132.3136265812893	included	1002.7471313185765	included	609.4907715457666	included	546.1282890303141	included	0.5382702788678406	0.5446321130953274	0.541451195981584	-0.8850967893500502	4 of 4	
YAL034C	FUN19	19.22828000050205	excluded	38.81725165096703	excluded	112.29053722344108	included	80.09207963700823	included	5.83986384744289	2.063311446085157	3.9515876467640236	1.9824324077002107	2 of 4	
YAL034C-B	-	0.0	excluded	0.0	excluded	0.0	excluded	0.0	excluded	n.a.	n.a.	n.a.	n.a.	0 of 4	
YAL034W-A	MTW1	223.03147190237524	included	296.86592703510536	included	150.28539572361407	excluded	160.35256145996473	included	0.6738304439357178	0.5401514517393655	0.6069909478375417	-0.7202530934101394	3 of 4	
YAL035W	FUN12	8162.893714789315	included	8035.171091749953	included	4688.514773267854	included	4770.9700600112255	included	0.5743692049760892	0.5937608553114421	0.5840650301437657	-0.7757990863251992	4 of 4	
YAL036C	RBG1	4117.411360080498	included	4349.540490592208	included	4692.01836828998	included	4273.179070257455	included	1.139555404587568	0.9824437959596152	1.0609996002735915	0.08542411272448185	4 of 4	
YAL037C-A	-	0.0	excluded	0.0	excluded	0.0	excluded	0.0	excluded	n.a.	n.a.	n.a.	n.a.	0 of 4	
YAL037C-B	-	0.0	excluded	0.0	excluded	0.0	excluded	1.244207165843204	excluded	n.a.	n.a.	n.a.	n.a.	0 of 4	
YAL037W	-	3.7129234702461984	excluded	17.132560963219987	excluded	8.131112828329863	excluded	13.579499851087206	excluded	2.1899489427910837	0.7926135433132001	1.4912812430521418	0.5765523633851947	0 of 4	
YAL038W	CDC19	387776.83790952683	included	390747.1396268726	included	404965.94664445193	included	396678.69980704074	included	1.0443273219400884	1.0151800476027342	1.0297536847714113	0.04229928861639624	4 of 4	
YAL039C	CYC3	832.9049953550792	included	692.9803639975019	included	1049.2147071815298	included	1201.1207325075177	included	1.2597051440833713	1.7332680619964114	1.4964866030398913	0.5815793634905911	4 of 4	
YAL040C	CLN3	330.54604746129843	included	357.6016640292064	included	302.55390338161794	included	285.35388097866763	included	0.9153154475914346	0.7979657526296128	0.8566406001105237	-0.22323804013090834	4 of 4	
YAL041W	CDC24	605.184812647376	included	655.1651616999345	included	682.2019513091277	included	663.540774789892	included	1.1272621801674778	1.01278397201131	1.0700230760893938	0.0976419100850619	4 of 4	
YAL042C-A	-	0.0	excluded	0.0	excluded	0.0	excluded	0.0	excluded	n.a.	n.a.	n.a.	n.a.	0 of 4	
YAL042W	ERV46	2023.614693658602	included	2588.2522266695437	included	967.3418139806082	included	1242.2630921465748	included	0.47802668018371564	0.47996214563101824	0.47899441290736694	-1.0619192667293391	4 of 4	
YAL043C	PTA1	701.3551825373912	included	717.0608880496836	included	500.8875848142008	included	495.9416094894067	included	0.7141710752062449	0.69163109821581	0.7029010867110275	-0.5086064095036436	4 of 4	
YAL044C	GCV3	12348.097811901369	included	12841.505679630864	included	6652.106200187355	included	7094.163664895454	included	0.5387150556724541	0.5524401765556342	0.5455776161140442	-0.8741436400115565	4 of 4	
YAL044W-A	-	1900.4816205901623	included	1437.4372995537633	included	405.7254377042914	excluded	455.36861362504686	included	0.21348558876265283	0.3167919837382897	0.26513878625047127	-1.9151803622976182	3 of 4	
YAL045C	-	0.0	excluded	0.0	excluded	0.0	excluded	0.0	excluded	n.a.	n.a.	n.a.	n.a.	0 of 4	
YAL046C	AIM1	1329.5386127237916	included	1427.6174328679788	included	854.5640148989804	included	781.5502995527687	included	0.6427523102531464	0.5474507956817896	0.5951015529674679	-0.7487922122465849	4 of 4	
YAL047C	SPC72	158.12405379225078	included	173.19561628629143	included	104.93442558550886	included	83.72935060670365	included	0.6636208917548724	0.48343804769457605	0.5735294697247242	-0.8020604765915111	4 of 4	
YAL047W-A	-	0.0	excluded	0.0	excluded	0.0	excluded	0.0	excluded	n.a.	n.a.	n.a.	n.a.	0 of 4	
YAL048C	GEM1	235.63343579800804	included	223.34347572414822	included	241.03087599714783	included	235.42351275268325	included	1.022906087927889	1.0540872617360675	1.0384966748319782	0.054496596817037904	4 of 4	
YAL049C	AIM2	1828.9830950275061	included	1719.4987298713552	included	896.9462383099647	included	1114.8751051831819	included	0.49040706868669853	0.6483721597552977	0.5693896142209981	-0.8125119166096286	4 of 4	
YAL051W	OAF1	360.8054639407163	included	318.73429494265383	included	371.50702785112423	included	360.7666531685133	included	1.0296602046807315	1.1318727193552294	1.0807664620179804	0.11205481124267845	4 of 4	
YAL053W	FLC2	520.3775904472575	included	688.1432968517864	included	184.37436622469673	included	190.32084740273643	included	0.3543088126954688	0.2765715342624751	0.31544017347897196	-1.664561685906526	4 of 4	
YAL054C	ACS1	12.542817101167829	excluded	22.507482049720373	excluded	9.156043016774804	excluded	14.724860716211577	excluded	0.7299829809303612	0.6542207024172442	0.6921018416738027	-0.5309437511478722	0 of 4	
YAL055W	PEX22	329.85530056109883	excluded	336.12002199112834	excluded	152.49954520020506	excluded	151.91700754218132	included	0.4623225545892287	0.45197250268593364	0.4571475286375812	-1.1292682742715734	1 of 4	
