systematic transcript name	expression [RPM]	transcript length[nt]	expression [RPKM]	quality tag
YAL001C	1198.3883742553182	3483	344.06786513216144	included
YAL002W	530.321292055511	3825	138.64608942627737	included
YAL003W	92079.61706670347	621	148276.35598502975	included
YAL004W	0.0	648	0.0	excluded
YAL005C	158083.9560590932	1929	81951.24730901669	included
YAL007C	2059.2995626571237	648	3177.9314238535862	included
YAL008W	606.0814766348708	597	1015.2118536597501	included
YAL009W	175.62588243396823	780	225.1613877358567	excluded
YAL010C	385.6882124040083	1482	260.24845641296105	included
YAL011W	323.7026068390787	1878	172.36560534562233	included
YAL012W	29570.57749922504	1185	24954.073839008473	included
YAL013W	692.1725954750522	1218	568.2862031814878	included
YAL014C	413.237370432866	768	538.0694927511275	included
YAL015C	316.81531733186426	1200	264.0127644432202	included
YAL016C-A	6.887289507214436	315	21.86441113401408	excluded
YAL016C-B	0.0	186	0.0	excluded
YAL016W	5709.563001480817	1908	2992.4334389312457	included
YAL017W	1460.1053755294693	4071	358.6601266346031	included
YAL018C	3.443644753607218	978	3.521109155017605	excluded
YAL019W	2968.421777609446	3396	874.0935740899429	included
YAL019W-A	0.0	570	0.0	excluded
YAL020C	334.0335410999003	1002	333.3668074849304	included
YAL021C	3491.855780157747	2514	1388.9641130301302	included
YAL022C	860.9111884018067	1554	553.9969037334663	included
YAL023C	7455.490891559693	2280	3269.952145420918	included
YAL024C	833.3620303729494	4308	193.44522524905977	included
YAL025C	2751.4721581321805	921	2987.4833421630624	included
YAL026C	1659.8367712386896	4068	408.02280512258835	included
YAL026C-A	144.63307965150315	438	330.2125106198702	excluded
YAL027W	182.5131719411827	786	232.20505336028333	excluded
YAL028W	86.09111884018043	1587	54.24771193458124	excluded
YAL029C	2572.402630944612	4416	582.5187117175299	included
YAL030W	781.7073590688393	354	2208.2128787255347	included
YAL031C	637.0742794173359	2283	279.0513707478475	included
YAL031W-A	0.0	309	0.0	excluded
YAL032C	337.47718585350754	1140	296.03261916974344	included
YAL033W	523.4340025482969	522	1002.7471313185765	included
YAL034C	48.211026550501046	1242	38.81725165096703	excluded
YAL034C-B	0.0	354	0.0	excluded
YAL034W-A	258.27335652054165	870	296.86592703510536	included
YAL035W	24177.82981507561	3009	8035.171091749953	included
YAL036C	4827.989944557351	1110	4349.540490592208	included
YAL037C-A	0.0	93	0.0	excluded
YAL037C-B	0.0	975	0.0	excluded
YAL037W	13.774579014428872	804	17.132560963219987	excluded
YAL038W	587292.9508591895	1503	390747.1396268726	included
YAL039C	561.3140948379765	810	692.9803639975019	included
YAL040C	623.2997004029068	1743	357.6016640292064	included
YAL041W	1680.498639760332	2565	655.1651616999345	included
YAL042C-A	0.0	378	0.0	excluded
YAL042W	3230.138778883591	1248	2588.2522266695437	included
YAL043C	1690.829574021154	2358	717.0608880496836	included
YAL044C	6587.692413650633	513	12841.505679630864	included
YAL044W-A	478.6666207514031	333	1437.4372995537633	included
YAL045C	0.0	309	0.0	excluded
YAL046C	509.6594235338684	357	1427.6174328679788	included
YAL047C	323.70260683907867	1869	173.19561628629143	included
YAL047W-A	0.0	330	0.0	excluded
YAL048C	444.2301732153308	1989	223.34347572414822	included
YAL049C	1274.148558834674	741	1719.4987298713552	included
